player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name,rank
100001,Gardnar,Mulloy,R,19131122,USA,,Q54544,Gardnar Mulloy,
100002,Pancho,Segura,R,19210620,ECU,,Q54581,Pancho Segura,
100003,Frank,Sedgman,R,19271002,AUS,,Q962049,Frank Sedgman,
100004,Giuseppe,Merlo,R,19271011,ITA,,Q1258752,Giuseppe Merlo,
100005,Richard Pancho,Gonzales,R,19280509,USA,188.0,Q53554,Richard Pancho Gonzales,
100006,Grant,Golden,R,19290821,USA,175.0,Q3115390,Grant Golden,
100007,Abe,Segal,L,19301023,RSA,,Q1258527,Abe Segal,
100008,Kurt,Nielsen,R,19301119,DEN,,Q552261,Kurt Nielsen,
100009,Istvan,Gulyas,R,19311014,HUN,,Q51066,Istvan Gulyas,
100010,Luis,Ayala,R,19320918,CHI,,Q1275397,Luis Ayala,
100011,Torben,Ulrich,L,19321004,DEN,180.0,Q785404,Torben Ulrich,
100012,Nicola,Pietrangeli,R,19330911,ITA,178.0,Q709909,Nicola Pietrangeli,
100013,Neale,Fraser,L,19331003,AUS,,Q715173,Neale Fraser,
100014,Trevor,Fancutt,R,19340714,RSA,,Q3538577,Trevor Fancutt,
100015,Sammy,Giammalva,R,19340801,USA,180.0,Q963700,Sammy Giammalva,
100016,Ken,Rosewall,R,19341102,AUS,175.0,Q312728,Ken Rosewall,
100017,Mal,Anderson,R,19350303,AUS,,Q963687,Mal Anderson,
100018,Barry,Mackay,R,19350831,USA,190.0,Q1258939,Barry Mackay,
100019,Wieslaw,Gasiorek,R,19360113,POL,,Q1258736,Wieslaw Gasiorek,
100020,Alejandro,Olmedo,R,19360324,PER,1.78,Q734544,Alejandro Olmedo,
100021,Ashley,Cooper,R,19360915,AUS,178.0,Q712208,Ashley Cooper,
100022,Roy,Emerson,R,19361103,AUS,183.0,Q312545,Roy Emerson,
100023,Ramanathan,Krishnan,R,19370411,IND,,Q1559952,Ramanathan Krishnan,
100024,Jan Eric,Lundquist,R,19370414,SWE,,Q1341605,Jan Eric Lundquist,
100025,Barry,Phillips Moore,R,19370709,AUS,173.0,Q1563886,Barry Phillips Moore,
100026,Andres,Gimeno,R,19370803,ESP,185.0,Q315958,Andres Gimeno,
100027,Gene,Scott,R,19371228,USA,185.0,Q1282493,Gene Scott,
100028,Manuel,Santana,R,19380510,ESP,,Q445602,Manuel Santana,
100029,Rod,Laver,L,19380809,AUS,173.0,Q105550,Rod Laver,
100030,Fred,Stolle,R,19381008,AUS,190.0,Q54671,Fred Stolle,
100031,Dimitri,Sturdza,R,19381110,SUI,,Q20431255,Dimitri Sturdza,
100032,Patricio,Rodriguez Chi,R,19381220,CHI,188.0,Q7145979,Patricio Rodriguez Chi,
100033,Wilhelm,Bungert,R,19390401,GER,188.0,Q77579,Wilhelm Bungert,
100034,Christian,Kuhnke,R,19390413,GER,,Q461558,Christian Kuhnke,
100035,Ion,Tiriac,R,19390509,ROU,,Q924245,Ion Tiriac,
100036,Rudy,Hernando,R,19390610,USA,,,Rudy Hernando,
100037,Nikola,Pilic,L,19390827,CRO,,Q452365,Nikola Pilic,
100038,Jaime,Pinto Bravo,R,19391009,CHI,,Q18390167,Jaime Pinto Bravo,
100039,Boro,Jovanovic,R,19391021,CRO,,Q1259703,Boro Jovanovic,
100040,Bob,Hewitt,R,19400112,RSA,190.0,Q52453,Bob Hewitt,
100041,Ned,Neely,R,19400114,USA,,,Ned Neely,
100042,Ryoichi,Mori,R,19400114,JPN,,,Ryoichi Mori,
100043,Zdenek,Slizek,R,19400219,CZE,,,Zdenek Slizek,
100044,Sergei,Likhachev,R,19400320,RUS,,Q3479599,Sergei Likhachev,
100045,John,Paish,L,19400323,GBR,,Q13512828,John Paish,
100046,Larry,Nagler,R,19400701,USA,,,Larry Nagler,
100047,Bob,Carmichael,R,19400704,AUS,183.0,Q1565064,Bob Carmichael,
100048,Earl Butch,Buchholz,R,19400916,USA,188.0,Q195386,Earl Butch Buchholz,
100049,Jim,Mcmanus,L,19400916,USA,175.0,Q12957721,Jim Mcmanus,
100050,Martin,Mulligan,R,19401018,AUS,,Q1291938,Martin Mulligan,
100051,Premjit,Lall,R,19401020,IND,,Q1268979,Premjit Lall,
100052,Keishiro,Yanagi,R,19410224,JPN,,Q87798987,Keishiro Yanagi,
100053,Colin,Stubs,R,19410227,AUS,,,Colin Stubs,
100054,Jose,Mandarino,R,19410326,BRA,173.0,,Jose Mandarino,
100055,Cliff,Drysdale,R,19410526,RSA,188.0,Q582003,Cliff Drysdale,
100056,Harald,Elschenbroich,R,19410619,GER,,Q5653740,Harald Elschenbroich,
100057,Pierre,Barthes,R,19410913,FRA,,Q1558013,Pierre Barthes,
100058,Roger,Taylor,L,19411014,GBR,183.0,Q1282421,Roger Taylor,
100059,Isao,Watanabe,R,19411123,JPN,,Q87795355,Isao Watanabe,
100060,Marty,Riessen,R,19411204,USA,185.0,Q1289530,Marty Riessen,
100061,Tom,Edlefsen,R,19411212,USA,188.0,Q7815700,Tom Edlefsen,
100062,Francois,Jauffret,R,19420209,FRA,180.0,Q1260078,Francois Jauffret,
100063,William,Higgins,R,19420402,USA,,,William Higgins,
100064,Juan,Gisbert,R,19420405,ESP,,Q1290022,Juan Gisbert,
100065,Terry,Ryan,R,19420427,RSA,,Q23020633,Terry Ryan,
100066,Frank,Froehling,R,19420519,USA,190.0,Q3082619,Frank Froehling,
100067,Frew,Mcmillan,R,19420520,RSA,183.0,Q962512,Frew Mcmillan,
100068,Herb,Fitzgibbon,R,19420714,USA,,Q1565884,Herb Fitzgibbon,
100069,Dennis,Ralston,R,19420727,USA,188.0,Q1189457,Dennis Ralston,
100070,Jan,Kukal,R,19420913,CZE,,Q1258763,Jan Kukal,
100071,Jean Claude,Barclay,R,19421230,FRA,,Q1561962,Jean Claude Barclay,
100072,Bailey,Brown,R,19430615,USA,,,Bailey Brown,
100073,Mark,Cox,L,19430705,GBR,,Q1565058,Mark Cox,
100074,Arthur,Ashe,R,19430710,USA,185.0,Q53325,Arthur Ashe,
100075,Owen,Davidson,L,19431004,AUS,185.0,Q976174,Owen Davidson,
100076,Milan,Holecek,R,19431023,CZE,190.0,Q1563971,Milan Holecek,
100077,Daniel,Contet,R,19431103,FRA,,Q1563980,Daniel Contet,
100078,Clark,Graebner,R,19431104,USA,188.0,Q1269127,Clark Graebner,
100079,Bill,Bowrey,R,19431225,AUS,,Q577531,Bill Bowrey,
100080,Szabolcz,Baranyi,R,19440131,HUN,,Q13512888,Szabolcz Baranyi,
100081,Charlie,Pasarell,R,19440212,USA,,Q1269243,Charlie Pasarell,
100082,Roger,Dowdeswell,R,19440216,ZIM,,Q7358114,Roger Dowdeswell,
100083,Nicola,Spear,R,19440222,SRB,,Q1258505,Nicola Spear,
100084,Tom,Okker,R,19440222,NED,178.0,Q455411,Tom Okker,
100085,Hans Joachim,Ploetz,R,19440226,GER,,,Hans Joachim Ploetz,
100086,Frantisek,Pala,L,19440328,CZE,,Q323289,Frantisek Pala,
100087,John,Newcombe,R,19440523,AUS,183.0,Q312464,John Newcombe,
100088,Patricio,Cornejo,R,19440606,CHI,180.0,Q1271345,Patricio Cornejo,
100089,Patrice,Beust,R,19440903,FRA,170.0,Q3368873,Patrice Beust,
100090,Dick,Crealy,R,19440918,AUS,191.0,Q962839,Dick Crealy,
100091,Colin,Dibley,R,19440919,AUS,188.0,Q390839,Colin Dibley,
100092,Alex,Metreveli,R,19441102,RUS,,Q465796,Alex Metreveli,
100093,William,Brown,R,19450114,USA,,Q13512796,William Brown,
100094,Jim,Osborne,R,19450201,USA,185.0,Q1562015,Jim Osborne,
100095,Tony,Bardsley,R,19450209,CAN,,Q7821830,Tony Bardsley,
100096,Peter,Burwash,R,19450210,CAN,175.0,Q7173087,Peter Burwash,
100097,Nicholas,Kalogeropoulos,R,19450218,GRE,,Q3339850,Nicholas Kalogeropoulos,
100098,Ove Nils,Bengtson,R,19450405,SWE,196.0,Q374309,Ove Nils Bengtson,
100099,Thomaz,Koch,L,19450511,BRA,,Q1281836,Thomaz Koch,
100100,Tony,Roche,L,19450517,AUS,178.0,Q710119,Tony Roche,
100101,Mike,Belkin,R,19450629,CAN,,Q1563966,Mike Belkin,
100102,Joaquin Loyo,Mayo,R,19450816,MEX,,Q1565143,Joaquin Loyo Mayo,
100103,Peter,Curtis,R,19450829,GBR,,Q3376525,Peter Curtis,
100104,D Richard,Russell,R,19450908,JAM,,,D Richard Russell,
100105,Allan,Stone,R,19451014,AUS,,Q1260060,Allan Stone,
100106,Graham,Stilwell,R,19451115,GBR,173.0,Q5593283,Graham Stilwell,
100107,Robert,Rheinberger,R,19451118,AUS,,,Robert Rheinberger,
100108,Chris,Bovett,R,19451225,GBR,,,Chris Bovett,
100109,Jun,Kuki,R,19451228,JPN,,Q16267024,Jun Kuki,
100110,Terry,Addison,R,19460111,AUS,180.0,Q13848246,Terry Addison,
100111,Ray,Keldie,R,19460117,AUS,,Q7297691,Ray Keldie,
100112,John,Clifton,R,19460219,GBR,,Q6226389,John Clifton,
100113,Jan,Kodes,R,19460301,CZE,175.0,Q317431,Jan Kodes,
100114,Ray,Ruffels,R,19460323,AUS,,Q1258947,Ray Ruffels,
100115,Jaime,Fillol,R,19460603,CHI,180.0,Q1258592,Jaime Fillol,
100116,Sherwood,Stewart,R,19460606,USA,188.0,Q984213,Sherwood Stewart,
100117,Butch,Seewagen,R,19460613,USA,188.0,Q18030909,Butch Seewagen,
100118,Ivan,Molina,L,19460616,COL,,Q1281826,Ivan Molina,
100119,Ilie,Nastase,R,19460719,ROU,183.0,Q106113,Ilie Nastase,
100120,Robert,Maud,R,19460812,RSA,180.0,Q1565123,Robert Maud,
100121,Raymond,Moore,R,19460824,RSA,183.0,Q1563090,Raymond Moore,
100122,Julian,Ganzabal,R,19460825,ARG,,Q22004451,Julian Ganzabal,
100123,Patrick,Hombergen,R,19460908,BEL,,Q23023184,Patrick Hombergen,
100124,Steve,Turner,R,19461017,USA,,,Steve Turner,
100125,John,Cooper,R,19461104,AUS,,Q1260301,John Cooper,
100126,Stan,Smith,R,19461214,USA,193.0,Q54657,Stan Smith,
100127,Tom,Gorman,R,19461219,USA,180.0,Q1258917,Tom Gorman,
100128,Cliff,Richey,R,19461231,USA,175.0,Q1565885,Cliff Richey,
100129,Jean Baptiste,Chanfreau,R,19470117,FRA,,Q1563100,Jean Baptiste Chanfreau,
100130,Vladimir,Zednik,R,19470201,CZE,,Q1261168,Vladimir Zednik,
100131,Guillermo,Oropez,R,19470207,USA,,,Guillermo Oropez,
100132,Armistead,Neely,R,19470319,USA,,Q18085277,Armistead Neely,
100133,Pat,Cramer,R,19470321,RSA,,Q7143331,Pat Cramer,
100134,Roy,Barth,R,19470330,USA,175.0,Q18240972,Roy Barth,
100135,Onny,Parun,R,19470415,NZL,188.0,Q939026,Onny Parun,
100136,Humphrey,Hose,R,19470504,VEN,,Q22005197,Humphrey Hose,
100137,Hans Jurgen,Pohmann,R,19470523,GER,178.0,Q95218,Hans Jurgen Pohmann,
100138,Dan,Bleckinger,R,19470527,USA,,,Dan Bleckinger,
100139,Gerald,Battrick,R,19470527,GBR,178.0,Q1565118,Gerald Battrick,
100140,Steve,Faulk,R,19470601,USA,,,Steve Faulk,
100141,Zeljko,Franulovic,R,19470613,CRO,,Q1290977,Zeljko Franulovic,
100142,Peter,Szoke,R,19470808,HUN,,Q1563115,Peter Szoke,
100143,Peter,Fishbach,R,19470829,USA,180.0,Q87758114,Peter Fishbach,
100144,Robert,Lutz,R,19470829,USA,180.0,Q888085,Robert Lutz,
100145,Dick,Dell,R,19470929,USA,,Q3026568,Dick Dell,
100146,Jun,Kamiwazumi,R,19471001,JPN,,Q11588830,Jun Kamiwazumi,
100147,Marcello,Lara,R,19471005,MEX,,Q1565079,Marcello Lara,
100148,Ismail,El Shafei,R,19471115,EGY,,Q402950,Ismail El Shafei,
100149,Toshiro,Sakai,R,19471123,JPN,,Q962038,Toshiro Sakai,
100150,Lito,Alvarez,R,19471205,ARG,,Q963823,Lito Alvarez,
100151,Karl,Coombes,R,19471217,AUS,180.0,Q16855126,Karl Coombes,
100152,David,Lloyd,R,19480103,GBR,,Q3018308,David Lloyd,
100153,Patrice,Hagelauer,R,19480105,FRA,188.0,Q3368955,Patrice Hagelauer,
100154,Peter,Kanderal,R,19480116,SUI,,Q86628337,Peter Kanderal,
100155,Ramiro,Benavides,R,19480130,BOL,,,Ramiro Benavides,
