,tourney_name,surface,tourney_level,tourney_date,fed_age,opp_name,opp_hand,opp_ht,opp_ioc,opp_age,score,best_of,round,minutes,fed_rank,fed_rank_points,opp_rank,opp_rank_points,fed_won
24174,Gstaad,Clay,A,19980706,16.9089664613,Lucas Arnold Ker,R,180.0,ARG,23.7316906229,6-4 6-4,3,R32,80.0,702.0,19.0,88.0,601.0,0
24932,Toulouse,Hard,A,19980928,17.138945927400002,Guillaume Raoux,R,180.0,FRA,28.6187542779,6-2 6-2,3,R32,60.0,878.0,9.0,45.0,859.0,1
24941,Toulouse,Hard,A,19980928,17.138945927400002,Richard Fromberg,R,196.0,AUS,28.4188911704,6-1 7-6(5),3,R16,85.0,878.0,9.0,43.0,927.0,1
24946,Toulouse,Hard,A,19980928,17.138945927400002,Jan Siemerink,L,183.0,NED,28.457221081500002,7-6(5) 6-2,3,QF,79.0,878.0,9.0,20.0,1652.0,0
24954,Basel,Hard,A,19981005,17.158110883,Andre Agassi,R,180.0,USA,28.4353182752,6-3 6-2,3,R32,60.0,396.0,77.0,8.0,2545.0,0
25666,Marseille,Hard,A,19990201,17.4839151266,Carlos Moya,R,190.0,ESP,22.431211499,7-6(1) 3-6 6-3,3,R32,113.0,243.0,173.0,5.0,3178.0,1
25682,Marseille,Hard,A,19990201,17.4839151266,Jerome Golmard,L,188.0,FRA,25.3963039014,6-7(6) 7-6(5) 7-6(5),3,R16,140.0,243.0,173.0,63.0,743.0,1
25690,Marseille,Hard,A,19990201,17.4839151266,Arnaud Clement,R,173.0,FRA,21.125256673499997,6-3 6-3,3,QF,70.0,243.0,173.0,103.0,472.0,0
25849,Rotterdam,Carpet,A,19990215,17.5222450376,Guillaume Raoux,R,180.0,FRA,29.0020533881,6-7(4) 7-5 7-6(3),3,R32,149.0,178.0,262.0,71.0,691.0,1
25858,Rotterdam,Carpet,A,19990215,17.5222450376,Bohdan Ulihrach,R,188.0,CZE,23.9780971937,6-4 7-5,3,R16,65.0,178.0,262.0,30.0,1155.0,1
25863,Rotterdam,Carpet,A,19990215,17.5222450376,Yevgeny Kafelnikov,R,190.0,RUS,24.9911019849,6-1 5-7 6-4,3,QF,109.0,178.0,262.0,2.0,3350.0,0
26023,Miami Masters,Hard,M,19990315,17.5989048597,Kenneth Carlsen,L,190.0,DEN,25.9082819986,7-5 7-6(4),3,R128,102.0,125.0,366.0,106.0,461.0,0
26351,Monte Carlo Masters,Clay,M,19990419,17.694729637200005,Vincent Spadea,R,183.0,USA,24.750171115700002,7-6(3) 6-0,3,R64,65.0,128.0,367.0,33.0,1088.0,0
26763,Roland Garros,Clay,G,19990524,17.7905544148,Patrick Rafter,R,185.0,AUS,26.4010951403,5-7 6-3 6-0 6-2,5,R128,133.0,111.0,424.0,3.0,3298.0,0
26912,Queen's Club,Grass,A,19990607,17.8288843258,Byron Black,R,175.0,ZIM,29.6673511294,6-3 6-0,3,R64,52.0,104.0,457.0,37.0,1056.0,0
27069,Wimbledon,Grass,G,19990621,17.867214236800002,Jiri Novak,R,190.0,CZE,24.249144421599997,6-3 3-6 4-6 6-3 6-4,5,R128,138.0,103.0,457.0,59.0,779.0,0
27182,Gstaad,Clay,A,19990705,17.9055441478,Younes El Aynaoui,R,193.0,MAR,27.811088295700003,6-2 6-3,3,R32,57.0,107.0,457.0,33.0,1130.0,0
27638,Washington,Hard,A,19990816,18.0205338809,Bjorn Phau,R,175.0,GER,19.8658453114,6-2 6-3,3,R64,68.0,104.0,466.0,407.0,82.0,0
27925,Tashkent,Hard,A,19990913,18.0971937029,Cedric Pioline,R,188.0,FRA,30.2450376454,6-4 6-3,3,R32,53.0,104.0,468.0,16.0,1851.0,1
27937,Tashkent,Hard,A,19990913,18.0971937029,Peter Wessels,R,196.0,NED,21.3524982888,4-6 7-6(1) 6-4,3,R16,100.0,104.0,468.0,92.0,513.0,0
27980,Toulouse,Hard,A,19990927,18.135523614,Rainer Schuettler,R,180.0,GER,23.4223134839,7-6(4) 6-1,3,R32,74.0,96.0,510.0,46.0,898.0,1
27995,Toulouse,Hard,A,19990927,18.135523614,Fabrice Santoro,R,178.0,FRA,26.7980835044,6-3 7-6(3),3,R16,80.0,96.0,510.0,39.0,1031.0,0
