,ranking_date,rank,player,points,20200106,1,104745,9985
538961,19970922.0,803.0,103819.0,12.0,,,,
540530,19971006.0,799.0,103819.0,12.0,,,,
542092,19971013.0,800.0,103819.0,12.0,,,,
543658,19971020.0,803.0,103819.0,12.0,,,,
545224,19971027.0,806.0,103819.0,12.0,,,,
546782,19971103.0,802.0,103819.0,12.0,,,,
548337,19971110.0,799.0,103819.0,12.0,,,,
549801,19971117.0,700.0,103819.0,19.0,,,,
551350,19971124.0,692.0,103819.0,19.0,,,,
552918,19971201.0,699.0,103819.0,19.0,,,,
554488,19971208.0,698.0,103819.0,19.0,,,,
556077,19971215.0,704.0,103819.0,19.0,,,,
557675,19971222.0,704.0,103819.0,,,,,
559268,19971229.0,704.0,103819.0,,,,,
560861,19980105.0,704.0,103819.0,,,,,
562456,19980112.0,705.0,103819.0,19.0,,,,
564058,19980119.0,706.0,103819.0,19.0,,,,
565652,19980126.0,706.0,103819.0,,,,,
567244,19980202.0,703.0,103819.0,19.0,,,,
568836,19980209.0,703.0,103819.0,19.0,,,,
570434,19980216.0,704.0,103819.0,19.0,,,,
572033,19980223.0,705.0,103819.0,19.0,,,,
573627,19980302.0,704.0,103819.0,19.0,,,,
575234,19980309.0,708.0,103819.0,19.0,,,,
576840,19980316.0,707.0,103819.0,19.0,,,,
578447,19980323.0,707.0,103819.0,,,,,
580050,19980330.0,710.0,103819.0,19.0,,,,
581663,19980406.0,711.0,103819.0,19.0,,,,
583275,19980413.0,712.0,103819.0,19.0,,,,
584885,19980420.0,710.0,103819.0,19.0,,,,
586491,19980427.0,711.0,103819.0,19.0,,,,
588104,19980504.0,711.0,103819.0,19.0,,,,
589703,19980511.0,705.0,103819.0,19.0,,,,
591297,19980518.0,704.0,103819.0,19.0,,,,
592886,19980525.0,704.0,103819.0,19.0,,,,
594488,19980601.0,704.0,103819.0,,,,,
596088,19980608.0,708.0,103819.0,19.0,,,,
597688,19980615.0,699.0,103819.0,19.0,,,,
599295,19980622.0,699.0,103819.0,19.0,,,,
600895,19980629.0,699.0,103819.0,,,,,
602495,19980706.0,702.0,103819.0,19.0,,,,
604089,19980713.0,693.0,103819.0,20.0,,,,
605668,19980720.0,689.0,103819.0,20.0,,,,
607234,19980727.0,683.0,103819.0,20.0,,,,
608804,19980803.0,679.0,103819.0,20.0,,,,
610375,19980810.0,679.0,103819.0,20.0,,,,
611957,19980817.0,679.0,103819.0,20.0,,,,
613537,19980824.0,680.0,103819.0,20.0,,,,
615134,19980831.0,682.0,103819.0,21.0,,,,
616739,19980907.0,682.0,103819.0,,,,,
618319,19980914.0,672.0,103819.0,21.0,,,,
620105,19980921.0,876.0,103819.0,9.0,,,,
621678,19980928.0,878.0,103819.0,9.0,,,,
622763,19981005.0,396.0,103819.0,77.0,,,,
624265,19981012.0,395.0,103819.0,78.0,,,,
625853,19981019.0,397.0,103819.0,78.0,,,,
627454,19981026.0,398.0,103819.0,78.0,,,,
629053,19981102.0,393.0,103819.0,78.0,,,,
630653,19981109.0,395.0,103819.0,78.0,,,,
632157,19981116.0,303.0,103819.0,119.0,,,,
633792,19981123.0,305.0,103819.0,119.0,,,,
635414,19981130.0,302.0,103819.0,119.0,,,,
638627,19981214.0,301.0,103819.0,119.0,,,,
640234,19981221.0,301.0,103819.0,119.0,,,,
641840,19981228.0,301.0,103819.0,119.0,,,,
643452,19990104.0,302.0,103819.0,119.0,,,,
645064,19990111.0,299.0,103819.0,119.0,,,,
646658,19990118.0,298.0,103819.0,119.0,,,,
648240,19990125.0,298.0,103819.0,119.0,,,,
649766,19990201.0,243.0,103819.0,173.0,,,,
651257,19990208.0,176.0,103819.0,262.0,,,,
652737,19990215.0,178.0,103819.0,262.0,,,,
654290,19990222.0,129.0,103819.0,358.0,,,,
655887,19990301.0,129.0,103819.0,358.0,,,,
657479,19990308.0,129.0,103819.0,366.0,,,,
659061,19990315.0,125.0,103819.0,366.0,,,,
660647,19990322.0,125.0,103819.0,366.0,,,,
662230,19990329.0,123.0,103819.0,367.0,,,,
663821,19990405.0,124.0,103819.0,367.0,,,,
665410,19990412.0,124.0,103819.0,367.0,,,,
667002,19990419.0,128.0,103819.0,367.0,,,,
668575,19990426.0,124.0,103819.0,368.0,,,,
670149,19990503.0,123.0,103819.0,369.0,,,,
671718,19990510.0,115.0,103819.0,424.0,,,,
673296,19990517.0,114.0,103819.0,424.0,,,,
674870,19990524.0,111.0,103819.0,424.0,,,,
676458,19990531.0,111.0,103819.0,424.0,,,,
678038,19990607.0,104.0,103819.0,457.0,,,,
679625,19990614.0,103.0,103819.0,457.0,,,,
681218,19990621.0,103.0,103819.0,457.0,,,,
682819,19990628.0,103.0,103819.0,457.0,,,,
684423,19990705.0,107.0,103819.0,457.0,,,,
686027,19990712.0,109.0,103819.0,457.0,,,,
687631,19990719.0,109.0,103819.0,457.0,,,,
689228,19990726.0,106.0,103819.0,457.0,,,,
690824,19990802.0,106.0,103819.0,457.0,,,,
692423,19990809.0,103.0,103819.0,466.0,,,,
694027,19990816.0,104.0,103819.0,466.0,,,,
695616,19990823.0,106.0,103819.0,466.0,,,,
697197,19990830.0,104.0,103819.0,466.0,,,,
698781,19990906.0,104.0,103819.0,466.0,,,,
700363,19990913.0,104.0,103819.0,468.0,,,,
701932,19990920.0,95.0,103819.0,510.0,,,,
703513,19990927.0,96.0,103819.0,510.0,,,,
705107,19991004.0,106.0,103819.0,472.0,,,,
706680,19991011.0,93.0,103819.0,525.0,,,,
708235,19991018.0,67.0,103819.0,683.0,,,,
709832,19991025.0,66.0,103819.0,700.0,,,,
711419,19991101.0,57.0,103819.0,794.0,,,,
713016,19991108.0,58.0,103819.0,794.0,,,,
714619,19991115.0,65.0,103819.0,749.0,,,,
716211,19991122.0,64.0,103819.0,749.0,,,,
717797,19991129.0,64.0,103819.0,749.0,,,,
719376,19991206.0,64.0,103819.0,749.0,,,,
720956,19991213.0,64.0,103819.0,749.0,,,,
722527,19991220.0,64.0,103819.0,749.0,,,,
724098,19991227.0,64.0,103819.0,749.0,,,,
60,20000110.0,61.0,103819.0,616.0,,,,
1633,20000117.0,62.0,103819.0,620.0,,,,
3204,20000124.0,62.0,103819.0,620.0,,,,
4773,20000131.0,61.0,103819.0,652.0,,,,
6353,20000207.0,67.0,103819.0,582.0,,,,
7914,20000214.0,54.0,103819.0,701.0,,,,
9496,20000221.0,66.0,103819.0,625.0,,,,
11058,20000228.0,58.0,103819.0,684.0,,,,
12622,20000306.0,49.0,103819.0,753.0,,,,
14204,20000313.0,50.0,103819.0,753.0,,,,
15791,20000320.0,53.0,103819.0,753.0,,,,
17385,20000327.0,53.0,103819.0,753.0,,,,
18975,20000403.0,50.0,103819.0,767.0,,,,
20568,20000410.0,48.0,103819.0,767.0,,,,
22165,20000417.0,49.0,103819.0,767.0,,,,
23761,20000424.0,51.0,103819.0,771.0,,,,
25346,20000501.0,48.0,103819.0,774.0,,,,
26931,20000508.0,51.0,103819.0,732.0,,,,
28522,20000515.0,50.0,103819.0,735.0,,,,
30121,20000522.0,54.0,103819.0,735.0,,,,
31715,20000529.0,54.0,103819.0,735.0,,,,
33322,20000605.0,54.0,103819.0,735.0,,,,
34912,20000612.0,38.0,103819.0,859.0,,,,
36498,20000619.0,35.0,103819.0,914.0,,,,
38075,20000626.0,35.0,103819.0,914.0,,,,
39671,20000703.0,35.0,103819.0,914.0,,,,
41272,20000710.0,39.0,103819.0,911.0,,,,
42857,20000717.0,39.0,103819.0,911.0,,,,
44451,20000724.0,40.0,103819.0,911.0,,,,
46028,20000731.0,38.0,103819.0,911.0,,,,
47606,20000807.0,39.0,103819.0,902.0,,,,
49078,20000814.0,40.0,103819.0,892.0,,,,
50662,20000821.0,40.0,103819.0,892.0,,,,
52240,20000828.0,40.0,103819.0,892.0,,,,
53819,20000904.0,40.0,103819.0,892.0,,,,
55394,20000911.0,36.0,103819.0,943.0,,,,
56961,20000918.0,36.0,103819.0,933.0,,,,
58556,20000925.0,36.0,103819.0,933.0,,,,
60147,20001002.0,30.0,103819.0,1064.0,,,,
61775,20001009.0,31.0,103819.0,1036.0,,,,
63417,20001016.0,32.0,103819.0,1018.0,,,,
65043,20001023.0,34.0,103819.0,1018.0,,,,
66661,20001030.0,25.0,103819.0,1115.0,,,,
68290,20001106.0,24.0,103819.0,1135.0,,,,
69918,20001113.0,24.0,103819.0,1135.0,,,,
71551,20001120.0,29.0,103819.0,1080.0,,,,
73170,20001127.0,29.0,103819.0,1080.0,,,,
74789,20001204.0,29.0,103819.0,1080.0,,,,
76403,20001211.0,29.0,103819.0,1080.0,,,,
78009,20001218.0,29.0,103819.0,1080.0,,,,
79616,20001225.0,29.0,103819.0,1080.0,,,,
81222,20010101.0,29.0,103819.0,1080.0,,,,
82829,20010108.0,30.0,103819.0,1080.0,,,,
84434,20010115.0,29.0,103819.0,1080.0,,,,
86040,20010122.0,29.0,103819.0,1080.0,,,,
87643,20010129.0,27.0,103819.0,1080.0,,,,
89239,20010205.0,22.0,103819.0,1195.0,,,,
90842,20010212.0,23.0,103819.0,1135.0,,,,
92438,20010219.0,23.0,103819.0,1150.0,,,,
94025,20010226.0,20.0,103819.0,1250.0,,,,
95623,20010305.0,20.0,103819.0,1250.0,,,,
97228,20010312.0,21.0,103819.0,1250.0,,,,
98827,20010319.0,24.0,103819.0,1180.0,,,,
100421,20010326.0,24.0,103819.0,1180.0,,,,
102011,20010402.0,21.0,103819.0,1290.0,,,,
103603,20010409.0,21.0,103819.0,1290.0,,,,
105200,20010416.0,22.0,103819.0,1290.0,,,,
106793,20010423.0,19.0,103819.0,1410.0,,,,
108387,20010430.0,19.0,103819.0,1410.0,,,,
109978,20010507.0,18.0,103819.0,1410.0,,,,
111570,20010514.0,18.0,103819.0,1480.0,,,,
113167,20010521.0,18.0,103819.0,1480.0,,,,
114772,20010528.0,18.0,103819.0,1480.0,,,,
116380,20010604.0,18.0,103819.0,1480.0,,,,
117983,20010611.0,14.0,103819.0,1580.0,,,,
119608,20010618.0,15.0,103819.0,1580.0,,,,
121233,20010625.0,15.0,103819.0,1580.0,,,,
122852,20010702.0,15.0,103819.0,1580.0,,,,
124468,20010709.0,14.0,103819.0,1825.0,,,,
126080,20010716.0,14.0,103819.0,1825.0,,,,
127689,20010723.0,14.0,103819.0,1825.0,,,,
129304,20010730.0,14.0,103819.0,1825.0,,,,
130922,20010806.0,14.0,103819.0,1820.0,,,,
132535,20010813.0,13.0,103819.0,1815.0,,,,
134149,20010820.0,13.0,103819.0,1815.0,,,,
135771,20010827.0,13.0,103819.0,1815.0,,,,
137393,20010903.0,13.0,103819.0,1815.0,,,,
139012,20010910.0,12.0,103819.0,1890.0,,,,
140643,20010917.0,12.0,103819.0,1890.0,,,,
142270,20010924.0,12.0,103819.0,1890.0,,,,
143937,20011001.0,12.0,103819.0,1810.0,,,,
145596,20011008.0,12.0,103819.0,1810.0,,,,
147248,20011015.0,12.0,103819.0,1775.0,,,,
148895,20011022.0,13.0,103819.0,1745.0,,,,
150538,20011029.0,13.0,103819.0,1745.0,,,,
152200,20011105.0,12.0,103819.0,1745.0,,,,
153864,20011112.0,12.0,103819.0,1745.0,,,,
155515,20011119.0,13.0,103819.0,1745.0,,,,
157170,20011126.0,13.0,103819.0,1745.0,,,,
158833,20011203.0,13.0,103819.0,1745.0,,,,
160498,20011210.0,13.0,103819.0,1745.0,,,,
162169,20011217.0,13.0,103819.0,1745.0,,,,
163838,20011224.0,13.0,103819.0,1745.0,,,,
165505,20011231.0,13.0,103819.0,1745.0,,,,
167172,20020107.0,13.0,103819.0,1745.0,,,,
168839,20020114.0,12.0,103819.0,1845.0,,,,
170508,20020121.0,12.0,103819.0,1845.0,,,,
172176,20020128.0,13.0,103819.0,1920.0,,,,
173841,20020204.0,13.0,103819.0,1865.0,,,,
175511,20020211.0,13.0,103819.0,1865.0,,,,
177185,20020218.0,13.0,103819.0,1865.0,,,,
178860,20020225.0,14.0,103819.0,1750.0,,,,
180526,20020304.0,14.0,103819.0,1750.0,,,,
182191,20020311.0,14.0,103819.0,1750.0,,,,
183859,20020318.0,14.0,103819.0,1820.0,,,,
185529,20020325.0,14.0,103819.0,1820.0,,,,
187194,20020401.0,11.0,103819.0,2045.0,,,,
188868,20020408.0,11.0,103819.0,2045.0,,,,
190538,20020415.0,11.0,103819.0,2045.0,,,,
192213,20020422.0,11.0,103819.0,1955.0,,,,
193891,20020429.0,11.0,103819.0,1955.0,,,,
195480,20020506.0,11.0,103819.0,1955.0,,,,
197171,20020513.0,14.0,103819.0,1885.0,,,,
198851,20020520.0,8.0,103819.0,2380.0,,,,
200537,20020527.0,8.0,103819.0,2380.0,,,,
202232,20020603.0,8.0,103819.0,2380.0,,,,
203927,20020610.0,10.0,103819.0,2135.0,,,,
205613,20020617.0,9.0,103819.0,2175.0,,,,
207304,20020624.0,9.0,103819.0,2160.0,,,,
208988,20020701.0,9.0,103819.0,2160.0,,,,
210673,20020708.0,11.0,103819.0,1915.0,,,,
212082,20020715.0,10.0,103819.0,1915.0,,,,
213780,20020722.0,10.0,103819.0,1915.0,,,,
215184,20020729.0,10.0,103819.0,1915.0,,,,
216588,20020805.0,14.0,103819.0,1920.0,,,,
217991,20020812.0,13.0,103819.0,1925.0,,,,
219400,20020819.0,13.0,103819.0,1925.0,,,,
220809,20020826.0,13.0,103819.0,1925.0,,,,
222222,20020902.0,13.0,103819.0,1925.0,,,,
223634,20020909.0,13.0,103819.0,1925.0,,,,
225051,20020916.0,13.0,103819.0,1925.0,,,,
226466,20020923.0,13.0,103819.0,1925.0,,,,
228170,20020930.0,13.0,103819.0,1925.0,,,,
229872,20021007.0,13.0,103819.0,1925.0,,,,
231560,20021014.0,7.0,103819.0,2115.0,,,,
233259,20021021.0,8.0,103819.0,2235.0,,,,
234959,20021028.0,8.0,103819.0,2170.0,,,,
236633,20021104.0,6.0,103819.0,2290.0,,,,
238312,20021111.0,6.0,103819.0,2290.0,,,,
239996,20021118.0,6.0,103819.0,2590.0,,,,
241680,20021125.0,6.0,103819.0,2590.0,,,,
243358,20021202.0,6.0,103819.0,2590.0,,,,
245031,20021209.0,6.0,103819.0,2590.0,,,,
246690,20021216.0,6.0,103819.0,2590.0,,,,
248352,20021223.0,6.0,103819.0,2590.0,,,,
250014,20021230.0,6.0,103819.0,2590.0,,,,
251676,20030106.0,6.0,103819.0,2590.0,,,,
253341,20030113.0,6.0,103819.0,2475.0,,,,
255006,20030120.0,6.0,103819.0,2475.0,,,,
256669,20030127.0,5.0,103819.0,2475.0,,,,
258336,20030203.0,6.0,103819.0,2415.0,,,,
260000,20030210.0,6.0,103819.0,2415.0,,,,
261668,20030217.0,5.0,103819.0,2530.0,,,,
263337,20030224.0,5.0,103819.0,2580.0,,,,
265005,20030303.0,4.0,103819.0,2780.0,,,,
266674,20030310.0,4.0,103819.0,2780.0,,,,
268340,20030317.0,4.0,103819.0,2740.0,,,,
270008,20030324.0,4.0,103819.0,2740.0,,,,
271677,20030331.0,5.0,103819.0,2515.0,,,,
273342,20030407.0,5.0,103819.0,2515.0,,,,
275009,20030414.0,5.0,103819.0,2515.0,,,,
276676,20030421.0,5.0,103819.0,2480.0,,,,
278343,20030428.0,5.0,103819.0,2480.0,,,,
280016,20030505.0,5.0,103819.0,2545.0,,,,
281690,20030512.0,5.0,103819.0,2890.0,,,,
283368,20030519.0,5.0,103819.0,2465.0,,,,
285057,20030526.0,5.0,103819.0,2465.0,,,,
286742,20030602.0,5.0,103819.0,2465.0,,,,
288427,20030609.0,5.0,103819.0,2465.0,,,,
290118,20030616.0,5.0,103819.0,2580.0,,,,
291811,20030623.0,5.0,103819.0,2580.0,,,,
293510,20030630.0,5.0,103819.0,2580.0,,,,
295206,20030707.0,3.0,103819.0,3575.0,,,,
296898,20030714.0,3.0,103819.0,3575.0,,,,
298590,20030721.0,3.0,103819.0,3575.0,,,,
300286,20030728.0,3.0,103819.0,3575.0,,,,
301990,20030804.0,3.0,103819.0,3690.0,,,,
303682,20030811.0,2.0,103819.0,3910.0,,,,
305374,20030818.0,2.0,103819.0,3825.0,,,,
307070,20030825.0,2.0,103819.0,3825.0,,,,
308772,20030901.0,2.0,103819.0,3825.0,,,,
310476,20030908.0,3.0,103819.0,3825.0,,,,
312195,20030915.0,3.0,103819.0,3825.0,,,,
313922,20030922.0,3.0,103819.0,3825.0,,,,
315666,20030929.0,3.0,103819.0,3825.0,,,,
317417,20031006.0,3.0,103819.0,3825.0,,,,
319170,20031013.0,3.0,103819.0,3825.0,,,,
320924,20031020.0,3.0,103819.0,3925.0,,,,
322680,20031027.0,3.0,103819.0,3925.0,,,,
324432,20031103.0,3.0,103819.0,3625.0,,,,
326160,20031110.0,3.0,103819.0,3625.0,,,,
327878,20031117.0,2.0,103819.0,4375.0,,,,
329595,20031124.0,2.0,103819.0,4375.0,,,,
331309,20031201.0,2.0,103819.0,4375.0,,,,
333030,20031208.0,2.0,103819.0,4375.0,,,,
334765,20031215.0,2.0,103819.0,4375.0,,,,
336508,20031222.0,2.0,103819.0,4375.0,,,,
338251,20031229.0,2.0,103819.0,4375.0,,,,
339994,20040105.0,2.0,103819.0,4375.0,,,,
341737,20040112.0,2.0,103819.0,4375.0,,,,
343483,20040119.0,2.0,103819.0,4375.0,,,,
345229,20040126.0,2.0,103819.0,4375.0,,,,
346974,20040202.0,1.0,103819.0,5225.0,,,,
348713,20040209.0,1.0,103819.0,5225.0,,,,
350450,20040216.0,1.0,103819.0,5170.0,,,,
352186,20040223.0,1.0,103819.0,5170.0,,,,
353921,20040301.0,1.0,103819.0,4930.0,,,,
355654,20040308.0,1.0,103819.0,5170.0,,,,
357392,20040315.0,1.0,103819.0,5170.0,,,,
359130,20040322.0,1.0,103819.0,5635.0,,,,
360877,20040329.0,1.0,103819.0,5635.0,,,,
362625,20040405.0,1.0,103819.0,5545.0,,,,
364377,20040412.0,1.0,103819.0,5545.0,,,,
365799,20040419.0,1.0,103819.0,5605.0,,,,
367547,20040426.0,1.0,103819.0,5545.0,,,,
369295,20040503.0,1.0,103819.0,5430.0,,,,
371036,20040510.0,1.0,103819.0,5115.0,,,,
